event_id,symbol,year,anchor_hour,delta_realized_vol_mean,delta_range_expansion,delta_tail_move_probability,delta_tail_move_within
law_BTCUSDT_113280,BTCUSDT,2023,0,-0.00024762519682389075,-0.014755111870234469,-0.010309278350515464,-1
law_BTCUSDT_113408,BTCUSDT,2023,8,-0.0007121242850163491,-0.016190536290502235,0.0,0
law_BTCUSDT_113536,BTCUSDT,2023,16,-0.0022327210636112612,-0.08856291251791927,-0.10309278350515463,-1
law_BTCUSDT_113664,BTCUSDT,2023,0,0.0005585954285923054,0.05102771152768737,0.030927835051546393,0
law_BTCUSDT_113888,BTCUSDT,2023,8,0.0006103833547261375,0.05492380085379406,0.030927835051546393,1
law_BTCUSDT_114144,BTCUSDT,2023,0,-0.00086132957267162,-0.021783040903687267,-0.010309278350515464,-1
law_BTCUSDT_114272,BTCUSDT,2023,8,-0.000493534813656207,-0.0025417048341753595,0.0,0
law_BTCUSDT_114400,BTCUSDT,2023,16,-0.0016846576113827122,-0.09092282389508174,-0.10309278350515463,-1
law_BTCUSDT_114528,BTCUSDT,2023,0,-0.00036820878847210236,-0.0026807900388841274,0.0,0
law_BTCUSDT_114752,BTCUSDT,2023,8,-0.0008289821840473649,-0.012353402039473342,0.0,0
law_BTCUSDT_114880,BTCUSDT,2023,16,-0.0018684411943531744,-0.060093802105174336,-0.09278350515463916,0
law_BTCUSDT_115328,BTCUSDT,2023,8,-1.6386984654636217e-05,0.005175345818972277,0.010309278350515464,1
law_BTCUSDT_115456,BTCUSDT,2023,16,-0.001969196576556089,-0.09556932097590137,-0.10309278350515463,-1
law_BTCUSDT_115584,BTCUSDT,2023,0,-0.00033330442782330346,0.0035267411878863036,0.0,0
law_BTCUSDT_115840,BTCUSDT,2023,16,-0.0013742242701855895,-0.0691380689223412,-0.10309278350515463,-1
law_BTCUSDT_115968,BTCUSDT,2023,0,-0.00050152937798593,-0.024904838291801033,-0.010309278350515464,-1
law_BTCUSDT_116096,BTCUSDT,2023,8,-0.0009276621940502548,-0.017157115202781268,0.0,0
law_BTCUSDT_116224,BTCUSDT,2023,16,-0.0016525064557716773,-0.07448892104220256,-0.09278350515463916,0
law_BTCUSDT_116352,BTCUSDT,2023,0,-0.0005640013319761401,-0.023675268143676237,-0.010309278350515464,-1
law_BTCUSDT_116480,BTCUSDT,2023,8,0.00010110307873729659,0.009920963933742505,0.010309278350515464,1
law_BTCUSDT_116608,BTCUSDT,2023,16,-0.0010023765204928011,-0.07839109520906432,-0.09278350515463916,0
law_BTCUSDT_116768,BTCUSDT,2023,8,-0.0006056108052950454,-0.011013375592968016,0.0,0
law_BTCUSDT_116896,BTCUSDT,2023,16,-0.0006387790772039302,-0.044778604085599395,-0.07216494845360824,0
law_BTCUSDT_117120,BTCUSDT,2023,0,-0.00023953742277008755,-0.011277805358287079,-0.010309278350515464,-1
law_BTCUSDT_117248,BTCUSDT,2023,8,9.981287596969187e-05,0.0075609080927607,0.0,0
law_BTCUSDT_117472,BTCUSDT,2023,16,-0.0019472857146041916,-0.08893533185407987,-0.10309278350515463,-1
law_BTCUSDT_117600,BTCUSDT,2023,0,-0.00047417296703559583,-0.009548231150603364,-0.010309278350515464,-1
law_BTCUSDT_117728,BTCUSDT,2023,8,-0.00018901331935052305,0.007439928923210021,0.010309278350515464,1
law_BTCUSDT_117920,BTCUSDT,2023,8,-0.0002485531473580948,-0.005856448024875194,0.0,0
law_BTCUSDT_118048,BTCUSDT,2023,16,-0.001653835930118795,-0.08697373776559712,-0.09278350515463916,0
law_BTCUSDT_118176,BTCUSDT,2023,0,-0.0011251254631356206,-0.010823443275098037,-0.010309278350515464,-1
law_BTCUSDT_118816,BTCUSDT,2023,16,-0.0012203254322388573,-0.07796297638981864,-0.09278350515463916,0
law_BTCUSDT_118944,BTCUSDT,2023,0,0.0009958421264718608,0.16837368545370163,0.12371134020618556,0
law_BTCUSDT_119488,BTCUSDT,2023,16,-0.0018313893202061846,-0.08470886441946762,-0.10309278350515463,-1
law_BTCUSDT_119616,BTCUSDT,2023,0,5.5899749703941385e-05,-0.01138586319442067,0.0,0
law_BTCUSDT_119808,BTCUSDT,2023,0,-5.810247712638656e-05,0.012277299154717175,0.02061855670103093,0
law_BTCUSDT_120160,BTCUSDT,2023,16,-0.001645960475084286,-0.08450222091634166,-0.09278350515463916,0
law_BTCUSDT_120384,BTCUSDT,2023,0,-0.0001777341154363091,0.004388355695512297,0.0,0
law_BTCUSDT_120864,BTCUSDT,2023,0,-0.0003514638301400561,-0.022048018031052705,-0.010309278350515464,-1
law_BTCUSDT_120992,BTCUSDT,2023,8,0.00013878361838998783,0.002531659391360401,0.010309278350515464,1
law_BTCUSDT_121536,BTCUSDT,2023,0,-0.0006605449743250741,-0.004215317704750386,0.0,0
law_BTCUSDT_122016,BTCUSDT,2023,0,9.847262227970308e-05,-0.004300120956763409,0.02061855670103093,0
law_BTCUSDT_122176,BTCUSDT,2023,16,-0.002160750046287758,-0.08673920048022378,-0.10309278350515463,-1
law_BTCUSDT_122304,BTCUSDT,2023,0,1.8112822899865252e-05,-0.012629989119379452,-0.010309278350515464,-1
